Scotland,Wales,5,2,British Championship,Aberdeen,Scotland,FALSE,Scotland,1900-02-03
Wales,Northern Ireland,2,0,British Championship,Llandudno,Wales,FALSE,Wales,1900-02-24
Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,FALSE,Scotland,1900-03-03
Northern Ireland,England,0,2,British Championship,Dublin,Republic of Ireland,FALSE,England,1900-03-17
Wales,England,1,1,British Championship,Cardiff,Wales,FALSE,DRAW,1900-03-26
Scotland,England,4,1,British Championship,Glasgow,Scotland,FALSE,Scotland,1900-04-07
Scotland,Northern Ireland,11,0,British Championship,Glasgow,Scotland,FALSE,Scotland,1901-02-23
Wales,Scotland,1,1,British Championship,Wrexham,Wales,FALSE,DRAW,1901-03-02
England,Northern Ireland,3,0,British Championship,Southampton,England,FALSE,England,1901-03-09
England,Wales,6,0,British Championship,Newcastle,England,FALSE,England,1901-03-18
Northern Ireland,Wales,0,1,British Championship,Belfast,Republic of Ireland,FALSE,Wales,1901-03-23
England,Scotland,2,2,British Championship,London,England,FALSE,DRAW,1901-03-30
Wales,Northern Ireland,0,3,British Championship,Cardiff,Wales,FALSE,Northern Ireland,1902-02-22
Northern Ireland,Scotland,1,5,British Championship,Belfast,Republic of Ireland,FALSE,Scotland,1902-03-01
Wales,England,0,0,British Championship,Wrexham,Wales,FALSE,DRAW,1902-03-03
Scotland,Wales,5,1,British Championship,Greenock,Scotland,FALSE,Scotland,1902-03-15
Northern Ireland,England,0,1,British Championship,Belfast,Republic of Ireland,FALSE,England,1902-03-22
England,Scotland,2,2,British Championship,Birmingham,England,FALSE,DRAW,1902-05-03
Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,FALSE,Argentina,1902-07-20
Austria,Hungary,5,0,Friendly,Vienna,Austria,FALSE,Austria,1902-10-12
England,Northern Ireland,4,0,British Championship,Wolverhampton,England,FALSE,England,1903-02-14
England,Wales,2,1,British Championship,Portsmouth,England,FALSE,England,1903-03-02
Wales,Scotland,0,1,British Championship,Cardiff,Wales,FALSE,Scotland,1903-03-09
Scotland,Northern Ireland,0,2,British Championship,Glasgow,Scotland,FALSE,Northern Ireland,1903-03-21
Northern Ireland,Wales,2,0,British Championship,Belfast,Republic of Ireland,FALSE,Northern Ireland,1903-03-28
England,Scotland,1,2,British Championship,Sheffield,England,FALSE,Scotland,1903-04-04
Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,FALSE,Hungary,1903-04-05
Hungary,Austria,3,2,Friendly,Budapest,Hungary,FALSE,Hungary,1903-06-11
Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina,FALSE,Uruguay,1903-09-13
Austria,Hungary,4,2,Friendly,Vienna,Austria,FALSE,Austria,1903-10-11
Wales,England,2,2,British Championship,Wrexham,Wales,FALSE,DRAW,1904-02-29
